Serial Number,Model,Location,Postal Code,Lift Lobby,Adult Pads Expiry Date,Adult Pads Lot Number,Pediatric Pads Expiry Date,Pediatric Pads Lot Number,Battery Replacement History,Battery Expiry Date,PM Completed Date,Next PM Date,Job Type,Last Done By,Service Report e-SR,Remarks,Latitude,Longitude,OneMap Address,Geocoding Status
AED1001,ZOLL AED Plus,Blk 101 Tampines Street 11,521101,Level 1 Lift Lobby A,28-10-2027,ADP-271001,15-06-2027,PDP-270615,05-02-2025; 14-01-2026,31-12-2030,14-08-2025,14-08-2026,PM,Zihan,1234,"PM done on 14 August 2025, 1234",1.34740034584157,103.945294915705,101 TAMPINES STREET 11 SINGAPORE 521101,Success
AED1002,ZOLL AED Plus,Blk 202 Bedok North Street 1,460202,Level 1 Lift Lobby B,12-03-2028,ADP-280312,20-09-2027,PDP-270920,18-02-2026,30-11-2031,18-08-2025,18-08-2026,PM,Amir,1235,"PM done on 18 August 2025, 1235",1.32565628436985,103.927990975389,202 BEDOK NORTH STREET 1 BEDOK TOWN CENTRE SINGAPORE 460202,Success
AED1003,ZOLL AED Plus,Blk 305 Jurong East Street 32,600305,Level 2 Lift Lobby,05-08-2027,ADP-270805,18-01-2028,PDP-280118,10-07-2025,31-07-2030,03-08-2025,03-08-2026,PM,Mei Lin,1236,"PM done on 3 August 2025, 1236",1.34543656763546,103.735240571701,305 JURONG EAST STREET 32 HONG KAH EAST GARDEN SINGAPORE 600305,Success
AED1004,ZOLL AED Plus,Blk 410 Hougang Avenue 10,530410,Level 1 Main Lift Lobby,22-11-2027,ADP-271122,14-04-2028,PDP-280414,21-04-2026,30-06-2031,21-09-2025,21-09-2026,Commissioning,Daniel,COM-1004,"Commissioning done on 21 September 2025, COM-1004",1.37388589154893,103.894681773728,410 HOUGANG AVENUE 10 HARMONY VIEW @ HOUGANG SINGAPORE 530410,Success
AED1005,ZOLL AED Plus,Blk 515 Woodlands Drive 14,730515,Level 1 Lift Lobby C,30-01-2028,ADP-280130,26-05-2028,PDP-280526,12-05-2026,31-03-2031,12-09-2025,12-09-2026,PM,Mei Lin,1241,"PM done on 12 September 2025, 1241",1.43468637535534,103.790453202511,515 WOODLANDS DRIVE 14 SINGAPORE 730515,Success
AED1006,ZOLL AED Plus,Blk 123 Ang Mo Kio Avenue 6,560123,Level 1 Lift Lobby A,17-05-2028,ADP-280517,09-12-2027,PDP-271209,06-06-2025,31-08-2031,06-09-2025,06-09-2026,PM,Zihan,1237,"PM done on 6 September 2025, 1237",1.37048118793194,103.844805800791,123 ANG MO KIO AVENUE 6 SINGAPORE 560123,Success
AED1007,ZOLL AED Plus,Blk 201 Boon Lay Drive,640201,Level 1 Main Lobby,11-09-2027,ADP-270911,23-02-2028,PDP-280223,15-06-2026,30-09-2030,15-10-2025,15-10-2026,PM,Amir,1238,"PM done on 15 October 2025, 1238",1.34326615072684,103.715411866571,201 BOON LAY DRIVE BOON LAY GARDENS SINGAPORE 640201,Success
AED1008,ZOLL AED Plus,Blk 101 Yishun Avenue 5,760101,Level 1 Lift Lobby B,04-04-2028,ADP-280404,29-08-2028,PDP-280829,20-06-2025,31-12-2031,20-10-2025,20-10-2026,PM,Mei Lin,1239,"PM done on 20 October 2025, 1239",1.4305357538408,103.827667722074,101 YISHUN AVENUE 5 SINGAPORE 760101,Success
AED1009,ZOLL AED Plus,Blk 201 Petir Road,670201,Level 1 Lift Lobby,19-07-2028,ADP-280719,08-01-2028,PDP-280108,02-07-2026,31-10-2031,02-10-2025,02-10-2026,Commissioning,Daniel,COM-1009,"Commissioning done on 2 October 2025, COM-1009",1.37184315960331,103.775222401611,201 PETIR ROAD SINGAPORE 670201,Success
AED1010,ZOLL AED Plus,Blk 201 Clementi Avenue 6,120201,Level 1 Lift Lobby C,25-12-2027,ADP-271225,16-03-2028,PDP-280316,08-07-2025,30-11-2030,08-11-2025,08-11-2026,PM,Zihan,1240,"PM done on 8 November 2025, 1240",1.32014419030202,103.763253531405,201 CLEMENTI AVENUE 6 SINGAPORE 120201,Success
