Serial Number,Status,Color Override,Updated At
AED1001,Pending,Yellow,28-07-2026 13:56:30
AED1002,Pending,,27-07-2026 16:23:05
AED1003,Pending,,27-07-2026 16:23:05
AED1004,Pending,,27-07-2026 16:23:05
AED1005,Pending,,27-07-2026 16:23:05
AED1006,Pending,,27-07-2026 16:23:05
AED1007,Pending,,27-07-2026 16:23:05
AED1008,Pending,,27-07-2026 16:23:05
AED1009,Pending,,27-07-2026 16:23:05
AED1010,Pending,,27-07-2026 16:23:05
AED1011,Pending,,27-07-2026 16:23:05
AED1010A,Pending,,27-07-2026 17:09:32
X16B816938,Pending,,28-07-2026 18:33:02
X17G941204,Pending,,28-07-2026 18:33:02
X18K075125,Pending,,28-07-2026 18:33:02
X18K075198,Pending,,28-07-2026 18:33:02
X16A810545,Pending,,28-07-2026 18:33:02
X16B817028,Pending,,28-07-2026 18:33:02
X17H943111,Pending,,28-07-2026 18:33:02
X17H942430,Pending,,28-07-2026 18:33:02
X17H943140,Pending,,28-07-2026 18:33:02
X17G941447,Pending,,03-08-2026 12:17:48
X16B816942,Pending,,03-08-2026 12:17:48
X21H400832,Pending,,03-08-2026 12:17:48
